
2017-08-10 23:44:09,138 proc_top starting

2017-08-10 23:44:19,139
   pid name                  utime  stime  pct
   926 (pixrc_ser)               0      6   1%
   924 (telem_up)                1      4   1%

2017-08-10 23:53:09,139
   pid name                  utime  stime  pct
   923 (telem_down)             33    235  27%
   935 (python)                167     19  19%
    13 (kworker/0:1)             0    126  13%
   938 (python)                 76     39  12%
   936 (python)                 40     11   5%
   931 (vidsrc:src)             26     15   4%
   908 (dataflash_logge)        10     29   4%
   921 (pixrc_udp)               0     38   4%
   919 (python)                 32      2   3%
    24 (ipu1_task)               0     11   1%
   924 (telem_up)                2      4   1%
   937 (python)                  4      2   1%
   926 (pixrc_ser)               0      5   1%

2017-08-10 23:53:19,139
   pid name                  utime  stime  pct
   923 (telem_down)             56    224  28%
   935 (python)                177     18  20%
    13 (kworker/0:1)             0    131  13%
   938 (python)                 87     31  12%
   936 (python)                 44      8   5%
   931 (vidsrc:src)             23     19   4%
   908 (dataflash_logge)        16     24   4%
   921 (pixrc_udp)              16     23   4%
   919 (python)                 26      8   3%
    24 (ipu1_task)               0     10   1%
   937 (python)                  7      0   1%
   924 (telem_up)                0      6   1%
   926 (pixrc_ser)               0      5   1%

2017-08-10 23:53:29,139
   pid name                  utime  stime  pct
   923 (telem_down)             28    214  24%
   935 (python)                172     16  19%
    13 (kworker/0:1)             0    114  11%
   938 (python)                 84     28  11%
   936 (python)                 39     10   5%
   931 (vidsrc:src)             21     18   4%
   921 (pixrc_udp)               2     34   4%
   919 (python)                 35      0   4%
   908 (dataflash_logge)        12     22   3%
    24 (ipu1_task)               0     10   1%
   924 (telem_up)                0      7   1%
   926 (pixrc_ser)               2      4   1%
   937 (python)                  5      1   1%

2017-08-10 23:53:39,139
   pid name                  utime  stime  pct
   923 (telem_down)             37    233  27%
   935 (python)                170     22  19%
    13 (kworker/0:1)             0    125  13%
   938 (python)                 83     33  12%
   936 (python)                 38     14   5%
   908 (dataflash_logge)        15     25   4%
   931 (vidsrc:src)             30     10   4%
   921 (pixrc_udp)              14     24   4%
   919 (python)                 25      7   3%
